Country,Year,Month,Service Area,"Number Of Wireline Telephones  (UOM:Number), Scaling Factor:1000000","Number Of Wireless Telephones (UOM:Number), Scaling Factor:1000000","Percentage Share In Total Telephones (UOM:Percentage), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2023","February, 2023",West Bengal,0.5,56.62,4.88
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Kolkata,0.86,24.09,2.13
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Delhi,4.02,54.39,4.99
India,"Calendar Year (Jan - Dec), 2023","February, 2023",Mumbai,3.25,34.48,3.23
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Andhra Pradesh,2.36,82.69,7.27
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Assam,0.27,24.82,2.14
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Bihar,0.66,90.78,7.81
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Gujarat,1.18,65.99,5.74
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Haryana,0.43,26.63,2.31
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Himachal Pradesh,0.14,8.82,0.77
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Jammu & Kashmir,0.34,12.04,1.06
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Karnataka,3.06,66.21,5.92
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Kerala,1.35,42.57,3.75
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Madhya Pradesh,1.27,76.42,6.64
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Maharashtra,1.44,91.58,7.95
India,"Calendar Year (Jan - Dec), 2023","January, 2023",North East,0.21,12.21,1.06
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Odisha,0.38,33.31,2.88
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Punjab,1.15,35.72,3.15
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Rajasthan,0.81,63.22,5.47
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Tamil Nadu,2.57,78.51,6.93
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Uttar Pradesh (East),0.72,99.32,8.55
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Uttar Pradesh (West),0.73,62.91,5.44
India,"Calendar Year (Jan - Dec), 2023","January, 2023",West Bengal,0.48,56.66,4.88
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Kolkata,0.85,24.05,2.13
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Delhi,4.02,54.16,4.97
India,"Calendar Year (Jan - Dec), 2023","January, 2023",Mumbai,3.24,34.32,3.21
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Andhra Pradesh,2.32,82.37,7.24
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Assam,0.27,24.71,2.13
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Bihar,0.64,90.88,7.82
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Gujarat,1.17,66.07,5.75
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Haryana,0.42,26.7,2.32
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Himachal Pradesh,0.14,9.59,0.83
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Jammu & Kashmir,0.34,12.06,1.06
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Karnataka,3.03,66.31,5.92
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Kerala,1.35,42.5,3.75
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Madhya Pradesh,1.24,76.25,6.62
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Maharashtra,1.44,91.48,7.94
India,"Calendar Year (Jan - Dec), 2022","December, 2022",North East,0.2,12.13,1.05
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Odisha,0.38,33.29,2.88
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Punjab,1.13,35.81,3.16
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Rajasthan,0.81,63.13,5.46
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Tamil Nadu,2.55,78.45,6.92
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Uttar Pradesh (East),0.71,99.87,8.59
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Uttar Pradesh (West),0.72,62.97,5.44
India,"Calendar Year (Jan - Dec), 2022","December, 2022",West Bengal,0.47,56.42,4.86
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Kolkata,0.85,24.0,2.12
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Delhi,4.01,53.88,4.95
India,"Calendar Year (Jan - Dec), 2022","December, 2022",Mumbai,3.22,34.02,3.18
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Andhra Pradesh,2.27,82.33,7.23
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Assam,0.26,24.59,2.12
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Bihar,0.61,91.22,7.85
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Gujarat,1.14,66.26,5.76
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Haryana,0.41,26.76,2.32
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Himachal Pradesh,0.14,9.77,0.85
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Jammu & Kashmir,0.33,12.06,1.06
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Karnataka,2.99,66.27,5.92
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Kerala,1.34,42.53,3.75
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Madhya Pradesh,1.21,76.18,6.61
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Maharashtra,1.44,91.23,7.92
India,"Calendar Year (Jan - Dec), 2022","November, 2022",North East,0.2,12.13,1.05
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Odisha,0.37,33.23,2.87
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Punjab,1.09,35.76,3.15
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Rajasthan,0.79,62.94,5.45
