state,year,hhi
Lakshadweep,2009,1798.0359801124466
Lakshadweep,2010,1530.4546124363585
Lakshadweep,2011,1490.2624653727116
Lakshadweep,2012,1613.7087201730858
Lakshadweep,2013,2011.3198841111755
Lakshadweep,2014,2119.9556288273507
Lakshadweep,2015,2141.086368463607
Lakshadweep,2016,2109.167528456216
Lakshadweep,2017,1985.2932061402814
Lakshadweep,2018,1778.44009122583
Lakshadweep,2019,3111.024983284093
Lakshadweep,2020,2883.1698091003555
Lakshadweep,2021,2782.329128620536
Madhya Pradesh,2008,2429.265434427879
Madhya Pradesh,2009,2218.3320278483366
Madhya Pradesh,2010,1935.5288753580694
Madhya Pradesh,2011,1858.4076352310017
Madhya Pradesh,2012,1904.2500718751771
Madhya Pradesh,2013,2044.5068430780539
Madhya Pradesh,2014,2039.3918893483387
Madhya Pradesh,2015,2015.170074254056
Madhya Pradesh,2016,2105.3712069028056
Madhya Pradesh,2017,2040.1231754797261
Madhya Pradesh,2018,1949.7218991209677
Madhya Pradesh,2019,2982.7631768103324
Madhya Pradesh,2020,3133.9592008240415
Madhya Pradesh,2021,3190.9515620822995
Maharashtra,2008,1467.214954022391
Maharashtra,2009,1461.6106653287916
Maharashtra,2010,1379.5899817889017
Maharashtra,2011,1300.9015572908218
Maharashtra,2012,1287.416270260455
Maharashtra,2013,1404.2029306299507
Maharashtra,2014,1518.4191655387822
Maharashtra,2015,1648.6142082976835
Maharashtra,2016,1602.5970579608168
Maharashtra,2017,1530.8573318023039
Maharashtra,2018,1671.3287035146932
Maharashtra,2019,3226.5470725112555
Maharashtra,2020,3135.990557176669
Maharashtra,2021,3134.1258665624423
Manipur,2008,10000.0
Manipur,2009,3108.7209656788264
Manipur,2010,2293.044242003985
Manipur,2011,2154.131304869743
Manipur,2012,2145.4687846269417
Manipur,2013,2189.478053436976
Manipur,2014,2251.0308262345116
Manipur,2015,2338.3146470293427
Manipur,2016,2447.2240056989353
Manipur,2017,2272.018405326889
Manipur,2018,2542.897753091145
Manipur,2019,3032.554151970885
Manipur,2020,3185.637143592334
Manipur,2021,3310.9619162785716
Meghalaya,2008,2772.8589011480685
Meghalaya,2009,2526.549570805754
Meghalaya,2010,2293.0442420039844
Meghalaya,2011,2154.131304869744
Meghalaya,2012,2145.4687846269417
Meghalaya,2013,2189.4780534369766
Meghalaya,2014,2251.0308262345116
Meghalaya,2015,2338.3146470293427
Meghalaya,2016,2447.2240056989363
Meghalaya,2017,2272.018405326889
Meghalaya,2018,2542.8977530911457
Meghalaya,2019,3032.5541519708845
Meghalaya,2020,3185.6371435923343
Meghalaya,2021,3310.9619162785707
Mizoram,2008,2772.858901148068
Mizoram,2009,2526.549571739853
Mizoram,2010,2293.044242003984
Mizoram,2011,2154.1313048697434
Mizoram,2012,2145.4687846269417
Mizoram,2013,2189.4780534369766
Mizoram,2014,2251.0308262345106
Mizoram,2015,2338.314647029343
Mizoram,2016,2447.2240056989353
Mizoram,2017,2272.018405326889
Mizoram,2018,2542.8977530911457
Mizoram,2019,3032.5541519708854
Mizoram,2020,3185.637143592334
Mizoram,2021,3310.961916278572
Nagaland,2008,10000.0
Nagaland,2009,3108.720966136779
Nagaland,2010,2293.0442420039835
Nagaland,2011,2154.1313048697434
Nagaland,2012,2145.4687846269417
Nagaland,2013,2189.478053436976
Nagaland,2014,2251.0308262345116
Nagaland,2015,2338.3146470293427
Nagaland,2016,2447.2240056989363
Nagaland,2017,2272.0184053268895
Nagaland,2018,2542.897753091146
Nagaland,2019,3032.554151970885
Nagaland,2020,3185.637143592334
Nagaland,2021,3310.961916278572
Odisha,2008,2403.5587983610676
Odisha,2009,2104.922157743594
Odisha,2010,1627.1731776558659
Odisha,2011,1492.7964566311095
Odisha,2012,1590.752618292992
Odisha,2013,1791.3361619674472
Odisha,2014,1854.2705058750662
Odisha,2015,1900.6689294289838
Odisha,2016,2002.4125212762065
Odisha,2017,1893.4230556296927
Odisha,2018,2332.737412075904
Odisha,2019,2843.152101357284
Odisha,2020,3066.9580477727854
Odisha,2021,3193.7573588285663
Puducherry,2008,2088.692001260887
Puducherry,2009,1980.6289044980049
Puducherry,2010,1764.7378097299584
Puducherry,2011,1704.1557360818144
Puducherry,2012,1699.8875659381617
Puducherry,2013,1849.7500767380952
Puducherry,2014,1875.1919792564322
Puducherry,2015,1814.690258414915
Puducherry,2016,1779.6755616937085
Puducherry,2017,1641.1237484642404
Puducherry,2018,1815.0598562537534
Puducherry,2019,2611.6056000470394
Puducherry,2020,2667.3215636158675
Puducherry,2021,2723.7185679898435
Punjab,2008,1804.2725018199815
Punjab,2009,1751.8377219260956
Punjab,2010,1623.2593000504348
Punjab,2011,1532.8092020253303
Punjab,2012,1542.3845606583138
Punjab,2013,1628.714927831117
Punjab,2014,1594.821977016872
Punjab,2015,1634.5918203099234
Punjab,2016,1585.602595699897
Punjab,2017,1644.8982436489978
Punjab,2018,1862.4950265342259
Punjab,2019,2630.7313501524404
Punjab,2020,2714.8786926397484
Punjab,2021,2690.8951326418114
Rajasthan,2008,2027.1531694244545
Rajasthan,2009,1973.5412963950673
Rajasthan,2010,1933.1712864772094
Rajasthan,2011,1777.4907885159555
Rajasthan,2012,1743.6971027081725
Rajasthan,2013,1744.8881067865702
Rajasthan,2014,1787.0452004284205
Rajasthan,2015,1898.0870360268723
Rajasthan,2016,1884.1663252890653
Rajasthan,2017,1801.8269389226787
Rajasthan,2018,2177.6446466476273
Rajasthan,2019,2877.6419773186744
Rajasthan,2020,2981.9964857507207
Rajasthan,2021,3031.413290234104
Sikkim,2008,2125.4992612081755
Sikkim,2009,1944.0030645990457
Sikkim,2010,1720.812417594072
Sikkim,2011,1580.4800152495607
Sikkim,2012,1533.2769636320118
Sikkim,2013,1757.7068628656039
Sikkim,2014,1900.7703086240163
Sikkim,2015,1987.1747459001565
Sikkim,2016,2199.9344197832584
Sikkim,2017,2094.2035025617656
Sikkim,2018,2191.6349884075225
Sikkim,2019,3013.8130134689904
Sikkim,2020,2977.0966507545872
Sikkim,2021,3031.3920345710667
Tamil Nadu,2008,2055.759392184486
Tamil Nadu,2009,1961.3715523738151
Tamil Nadu,2010,1765.6322774764496
Tamil Nadu,2011,1704.1557360818138
Tamil Nadu,2012,1699.8875659381615
Tamil Nadu,2013,1849.750076738096
